,Unit_ID,Registration_Number,Crime_No,Vehicle_Owner_ID,UserID,DEDT,Time,Date
1082,58,CMM-4961,2017000028,2017000675,160200020,4/11/2017 12:30,12:30,4/11/2017 
1084,58,HR26C6978,2018000129,2018000638,5000072,9/18/2018 13:04,13:04,9/18/2018 
1086,58,KA01G5760,2018000172,2019000037,194300017,1/5/2019 13:23,13:23,1/5/2019 
1088,58,KA04MR4908,2018000170,2019000059,59200032,1/10/2019 10:37,10:37,1/10/2019 
1090,58,KA05AA1431,2015000048,2015000506,3200165,8/2/2015 18:27,18:27,8/2/2015 
1093,58,KA08H3952,2017000098,2017002733,5400011,7/3/2017 13:29,13:29,7/3/2017 
1094,58,KA09A8217,2014000169,2014000711,5800030,12/7/2014 12:00,12:00,12/7/2014 
1102,58,KA09C7784,2018000136,2018000826,5900040,11/20/2018 19:24,19:24,11/20/2018 
1104,58,KA09C8260,2018000070,2018000407,45000004,6/4/2018 17:33,17:33,6/4/2018 
1108,58,KA09EE2930,2019000001,2019000086,5800076,1/22/2019 16:20,16:20,1/22/2019 
1110,58,KA09EE7125,2014000010,2015000496,5700033,7/30/2015 18:43,18:43,7/30/2015 
1144,57,KA55L9190,2014000226,2014001093,3200139,10/18/2014 11:35,11:35,10/18/2014 
1158,58,KA09B2811,2014000155,2017002833,5200063,7/20/2017 18:34,18:34,7/20/2017 
1170,58,KA09EJ9680,2018000116,2018000673,4600019,10/3/2018 20:31,20:31,10/3/2018 
1171,58,KA09EK2231,2014000006,2014000274,3200171,5/2/2014 10:45,10:45,5/2/2014 
1209,57,KL10G1759,2018000020,2018000103,5900057,3/1/2018 21:41,21:41,3/1/2018 
1228,58,KA03MM1998,2014000172,2015000439,5000034,7/19/2015 14:04,14:04,7/19/2015 
1274,58,HA102075,2019000004,2019000117,137800041,2/1/2019 11:40,11:40,2/1/2019 
1284,58,KA09B6967,2016000080,2017000073,5700063,3/3/2017 14:07,14:07,3/3/2017 
1296,58,KA09EK1269,2018000089,2018000598,5100044,8/23/2018 19:13,19:13,8/23/2018 
1327,58,KA01C3656,2017000183,2017003550,5400005,12/21/2017 13:21,13:21,12/21/2017 
1331,58,KA01MB1888,2018000057,2018000283,4000076,5/5/2018 11:21,11:21,5/5/2018 
1355,58,KA09EF2487,2017000134,2017003428,5700020,11/16/2017 10:42,10:42,11/16/2017 
1407,58,KA09C7735,2019000008,2019000128,5900038,2/1/2019 18:51,18:51,2/1/2019 
1485,58,KA09EJ9299,2019000006,2019000227,5900085,2/25/2019 19:20,19:20,2/25/2019 
1544,58,KA09EV7999,2014000075,2014000294,36600022,5/19/2014 11:00,11:00,5/19/2014 
1768,58,KA09B5752,2018000130,2018000703,4200055,10/23/2018 11:54,11:54,10/23/2018 
1778,58,KA09EE3597,2018000087,2018000527,4100029,7/24/2018 17:43,17:43,7/24/2018 
1912,58,KA45V6428,2018000167,2018000942,5900078,12/12/2018 11:10,11:10,12/12/2018 
1933,58,KA09C1344,2018000177,2018000955,4400109,12/18/2018 13:59,13:59,12/18/2018 
1944,58,KA09EG8143,2018000058,2018000443,5900075,6/10/2018 11:42,11:42,6/10/2018 
2055,58,KA09B9447,2014000065,2014000341,5300055,6/19/2014 11:48,11:48,6/19/2014 
2063,58,KA09EE9659,2018000102,2018000656,5300009,9/25/2018 13:29,13:29,9/25/2018 
2094,58,KA12P5817,2018000095,2018000755,5900077,11/11/2018 16:04,16:04,11/11/2018 
2164,59,KA02D2391,2016000018,2016000342,88300002,5/5/2016 18:57,18:57,5/5/2016 
2166,59,KA04JF0777,2016000043,2017000030,88600001,3/4/2017 11:47,11:47,3/4/2017 
2167,59,KA04MR4702,2018000064,2018000341,4800012,11/4/2018 9:22, 9:22,11/4/2018
2169,59,KA09A4691,2015000010,2015000132,88800019,6/11/2015 11:19,11:19,6/11/2015 
2219,59,KA02EM9392,2017000057,2017000598,5400067,12/27/2017 10:37,10:37,12/27/2017 
2224,59,KA09EW0579,2015000027,2015000586,5700050,7/21/2015 13:41,13:41,7/21/2015 
2226,59,KA09F5031,2017000007,2017000043,5900036,3/10/2017 20:11,20:11,3/10/2017 
2290,59,KA00XX0000,2019000003,2019000012,3200163,2/7/2019 20:18,20:18,2/7/2019 
2413,59,KA09EZ7175,2018000020,2018000106,4400015,4/5/2018 18:31,18:31,4/5/2018 
2480,59,KA09HF8165,2017000039,2017000488,5300081,10/23/2017 13:18,13:18,10/23/2017 
2499,58,KA51AA7871,2018000184,2019000076,4600066,1/19/2019 10:40,10:40,1/19/2019 
2524,59,KA097894,2018000027,2018000136,5900052,5/7/2018 17:25,17:25,5/7/2018 
2547,59,KA-17-Y-0786,2014000018,2014000156,4400097,4/17/2014 19:34,19:34,4/17/2014 
2585,59,KA55R5308,2018000016,2018000100,68200077,4/1/2018 13:35,13:35,4/1/2018 
2593,106,CG08Z9109,2018000290,2018000478,116000029,8/22/2018 20:44,20:44,8/22/2018 
2595,106,KA-02-AB-5827,2014000194,2014000190,177000001,7/24/2014 12:52,12:52,7/24/2014 
2657,59,KA550444,2017000044,2017000492,5500038,10/24/2017 23:36,23:36,10/24/2017 
2693,59,KA09HH9171,2019000001,2019000004,5200067,1/25/2019 9:17, 9:17,1/25/2019
2807,58,KA09T8090,2018000027,2018000167,4400118,3/3/2018 10:58,10:58,3/3/2018 
2828,59,KA01D9030,2018000075,2018000422,4200015,12/31/2018 16:30,16:30,12/31/2018 
2936,58,KA544038,2018000180,2019000450,123600055,5/4/2019 13:31,13:31,5/4/2019 
2958,59,KA09F4992,2018000024,2018000128,5300075,4/21/2018 15:35,15:35,4/21/2018 
3008,59,KA-55-Q-8747,2014000004,2014000033,4400148,2/18/2014 18:29,18:29,2/18/2014 
3039,106,CNU8543,2017000453,2018000019,9400158,1/18/2018 11:24,11:24,1/18/2018 
3070,106,KA16M4978,2018000193,2018000363,188400029,7/4/2018 11:35,11:35,7/4/2018 
3141,106,KA16S7907,2018000335,2019000197,10600072,4/1/2019 11:20,11:20,4/1/2019 
3359,59,KA09EX7611,2014000032,2014000479,3100149,12/2/2014 12:50,12:50,12/2/2014 
4009,107,KA17EF721,2014000122,2014000078,9800043,8/20/2014 17:32,17:32,8/20/2014 
4010,107,KA17EJ4242,2015000130,2015000204,152200007,10/27/2015 14:31,14:31,10/27/2015 
4011,107,KA17EP1712,2014000215,2015000002,136000072,2/27/2015 18:16,18:16,2/27/2015 
4021,107,KA432353,2015000028,2017000780,119800032,5/27/2017 11:45,11:45,5/27/2017 
4022,108,KA07TA1043,2016000046,2016000030,145500033,5/20/2016 11:20,11:20,5/20/2016 
4023,108,KA16K7983,2017000020,2017000314,9400161,7/3/2017 19:18,19:18,7/3/2017 
4145,107,KA17TV0874,2014000008,2014000004,10700005,2/8/2014 19:09,19:09,2/8/2014 
4153,108,KA04MR0884,2018000065,2018000100,10800007,8/7/2018 17:32,17:32,8/7/2018 
4251,107,KA17Y7422,2018000260,2019000012,12000017,3/8/2019 9:58, 9:58,3/8/2019
4268,110,KA17B0126,2016000037,2016000010,7800162,3/12/2016 11:24,11:24,3/12/2016 
4273,110,KA17EC8030,2014000207,2014000126,103100064,11/16/2014 19:07,19:07,11/16/2014 
4302,108,KA16A6909,2017000136,2017000348,14700016,12/25/2017 12:45,12:45,12/25/2017 
4335,110,KA17EM7153,2018000125,2018000054,11700011,6/20/2018 11:20,11:20,6/20/2018 
4520,107,KA22B2861,2018000262,2018000164,10800017,12/29/2018 12:29,12:29,12/29/2018 
4598,111,KA17C1492,2014000183,2014000322,155800034,10/18/2014 18:42,18:42,10/18/2014 
4647,111,KA17ES2915,2018000072,2018000124,103100004,6/23/2018 12:52,12:52,6/23/2018 
4704,111,KA17ER2891,2019000007,2019000037,60800066,3/12/2019 20:22,20:22,3/12/2019 
4769,112,KA52K0311,2014000111,2015000078,33700009,2/20/2015 12:54,12:54,2/20/2015 
4770,115,GA-02U-5592,2014000115,2014000072,11500056,9/8/2014 11:45,11:45,9/8/2014 
4779,115,KA06C1019,2015000094,2017000431,29200064,5/19/2017 11:32,11:32,5/19/2017 
4782,115,KA16B4194,2018000332,2019000025,11100003,2/19/2019 10:35,10:35,2/19/2019 
4804,115,KA17ER2326,2018000182,2018000168,116700008,5/24/2018 17:10,17:10,5/24/2018 
4811,115,KA34A9275,2018000132,2018000149,152300035,5/22/2018 17:43,17:43,5/22/2018 
4855,108,KA16J7729,2019000016,2019000058,11200008,7/11/2019 12:07,12:07,7/11/2019 
4886,111,KA17EW9635,2019000015,2019000035,219300004,3/11/2019 21:21,21:21,3/11/2019 
4955,112,KA431590,2018000055,2018000102,11200012,8/14/2018 19:27,19:27,8/14/2018 
4999,112,KA17C2848,2017000247,2018000008,152700005,1/17/2018 14:26,14:26,1/17/2018 
5000,112,KA17EF7585,2018000119,2018000165,12000024,9/8/2018 23:16,23:16,9/8/2018 
5055,112,KA292615,2018000277,2019000036,11600012,3/17/2019 9:04, 9:04,3/17/2019
5056,112,KA35N1995,2016000082,2016000057,11200009,5/5/2016 11:21,11:21,5/5/2016 
5103,107,KA17EK7631,2017000186,2017001196,10800001,10/28/2017 12:12,12:12,10/28/2017 
5204,115,KA15N0174,2017000111,2017000924,152200036,8/11/2017 13:17,13:17,8/11/2017 
5297,115,KA177113,2017000210,2017000965,9700001,8/28/2017 17:31,17:31,8/28/2017 
5303,115,KA17ee2191,2018000325,2019000130,188500042,5/29/2019 10:56,10:56,5/29/2019 
5328,116,KA14N1803,2015000013,2015000002,11200036,7/10/2015 15:33,15:33,7/10/2015 
5380,107,KA17HA1583,2019000009,2019000008,11900023,2/25/2019 20:38,20:38,2/25/2019 
5469,108,KA17B5578,2014000004,2014000024,28900470,1/31/2014 18:58,18:58,1/31/2014 
5608,115,KA02AE7578,2018000280,2018000307,11500041,10/21/2018 11:23,11:23,10/21/2018 
5661,116,KA-27x-3374,2014000008,2014000018,156700040,2/5/2014 6:49, 6:49,2/5/2014
5694,117,GA01R5191,2015000162,2015000114,9400164,10/12/2015 12:10,12:10,10/12/2015 
5699,119,KA-17-EQ-4852,2019000010,2019000060,11900036,2/28/2019 13:09,13:09,2/28/2019 
5700,119,KA-17-EU-2763,2016000122,2016000132,91900279,7/21/2016 18:54,18:54,7/21/2016 
5704,119,KA-17-X-1811,2014000008,2014000018,188600026,2/3/2014 12:03,12:03,2/3/2014 
5851,116,KA17EX4458,2018000225,2018000129,188500030,12/25/2018 16:46,16:46,12/25/2018 
5862,119,KA-17-EN-1927,2018000359,2019000012,11900013,1/5/2019 20:40,20:40,1/5/2019 
5863,119,KA-17-EW-4597,2017000253,2018000069,123300083,3/23/2018 13:44,13:44,3/23/2018 
5867,119,KA-17-TB-7790,2014000114,2015000030,11500061,1/8/2015 22:18,22:18,1/8/2015 
5868,119,KA-17EK-2942,2015000135,2015000355,48600028,7/25/2015 10:59,10:59,7/25/2015 
5879,119,KA16U0409,2018000361,2019000055,11500019,2/17/2019 23:43,23:43,2/17/2019 
5968,116,KA-17A9454,2018000181,2018000086,11000039,7/15/2018 18:55,18:55,7/15/2018 
5978,116,KA17EW2201,2017000174,2017000756,10300080,11/21/2017 15:46,15:46,11/21/2017 
5980,119,KA-17-EQ-4416,2018000368,2018000294,152200021,11/19/2018 13:54,13:54,11/19/2018 
6127,115,KA53C9883,2018000291,2019000019,11600023,2/17/2019 11:50,11:50,2/17/2019 
6143,115,KA17EL4781,2018000337,2019000097,11500011,5/6/2019 7:15, 7:15,5/6/2019
6152,115,KA17EZ7852,2018000288,2019000015,188500019,2/14/2019 20:24,20:24,2/14/2019 
6196,119,KA-25-P-4279,2018000336,2018000279,11000019,11/16/2018 17:39,17:39,11/16/2018 
6201,119,KA-35-K-2572,2018000400,2019000064,11900007,3/9/2019 16:13,16:13,3/9/2019 
6391,119,TN-29-BE-1962,2018000376,2018000327,151900051,12/27/2018 10:59,10:59,12/27/2018 
6393,137,KA-03-MU-0469,2014000271,2015000040,13300188,4/4/2015 13:11,13:11,4/4/2015 
6394,137,KA-13-D-0353,2014000035,2014000050,31900005,3/10/2014 14:25,14:25,3/10/2014 
6401,137,KA01AB2286,2016000202,2016000207,44700108,10/26/2016 20:42,20:42,10/26/2016 
6410,137,KA27B4729,2018000167,2018000119,13300223,7/7/2018 21:40,21:40,7/7/2018 
6419,137,KA27F0524,2015000109,2015000108,149700010,8/8/2015 20:54,20:54,8/8/2015 
6429,137,KA27TB5178,2018000267,2018000180,127200033,12/7/2018 12:35,12:35,12/7/2018 
6457,119,KA16K7772,2017000257,2017001236,9400026,11/6/2017 14:09,14:09,11/6/2017 
6488,120,KA02MC2650,2018000139,2018000151,11900006,10/16/2018 23:07,23:07,10/16/2018 
6495,120,KA16Q2718,2018000005,2018000062,12000042,7/1/2018 17:27,17:27,7/1/2018 
6498,120,KA17B6249,2014000188,2014000104,152000002,11/18/2014 19:41,19:41,11/18/2014 
6520,119,RJ-03-BV-0243,2018000232,2018000234,152200024,9/29/2018 18:43,18:43,9/29/2018 
6587,119,KA-35-j-2841,2017000223,2017001238,11900059,11/8/2017 11:51,11:51,11/8/2017 
6614,136,MH46F0853,2016000184,2016000126,202000161,10/14/2016 11:03,11:03,10/14/2016 
6675,119,KA-42-G-0346,2017000254,2018000055,12000034,3/8/2018 17:13,17:13,3/8/2018 
6695,120,KA17ET0823,2018000217,2019000026,175400062,2/15/2019 23:49,23:49,2/15/2019 
6745,107,KA41MB4880,2018000216,2018000115,9800004,9/19/2018 18:13,18:13,9/19/2018 
6779,119,RJ-06-GA-9269,2017000286,2018000002,11900045,1/7/2018 13:04,13:04,1/7/2018 
6787,120,KA17EL2085,2018000155,2018000163,189600052,11/7/2018 18:12,18:12,11/7/2018 
6812,138,AP15CJ5935,2014000016,2015000289,14000006,9/24/2015 15:14,15:14,9/24/2015 
6815,138,KA27AE5778,2016000147,2017000114,180900179,3/19/2017 12:26,12:26,3/19/2017 
7102,137,KA01AE4795,2018000188,2018000127,14200027,7/8/2018 7:17, 7:17,7/8/2018
7113,137,KA15A3040,2019000003,2019000021,14500012,2/27/2019 17:15,17:15,2/27/2019 
7186,120,KA17EP1807,2017000254,2018000022,9700050,4/13/2018 15:21,15:21,4/13/2018 
7231,140,kA27F454,2017000186,2017000307,48600331,9/13/2017 13:11,13:11,9/13/2017 
7235,140,New0001,2014000261,2014000188,13600046,10/19/2014 11:16,11:16,10/19/2014 
7236,141,KA-27EE-0167,2015000096,2015000138,14900013,8/29/2015 19:19,19:19,8/29/2015 
7238,141,KA14A0046,2014000009,2014000006,15800010,3/16/2014 17:04,17:04,3/16/2014 
7243,141,KA17B4710,2016000139,2016000101,13700001,12/21/2016 11:02,11:02,12/21/2016 
7259,141,KA274734,2017000111,2017000287,14000018,11/11/2017 13:58,13:58,11/11/2017 
7260,141,KA27B7191,2018000134,2018000095,13700041,12/9/2018 13:02,13:02,12/9/2018 
7275,145,KA17C2506,2015000043,2015000248,13600071,10/28/2015 13:50,13:50,10/28/2015 
7281,145,KA27A5960,2018000032,2018000193,15400004,8/18/2018 20:37,20:37,8/18/2018 
7288,145,KA27EG7251,2016000052,2017000179,15000003,5/12/2017 20:39,20:39,5/12/2017 
7291,145,ka27f711,2018000031,2018000146,150100016,7/5/2018 20:45,20:45,7/5/2018 
7292,145,KA27L4333,2017000059,2017000818,15000042,12/31/2017 13:30,13:30,12/31/2017 
7302,145,KA42F1259,2019000004,2019000061,9400162,3/4/2019 18:01,18:01,3/4/2019 
7303,149,KA27V0882,2014000133,2015000038,14900053,2/23/2015 12:43,12:43,2/23/2015 
7315,150,KA-27B-0047,2015000118,2015000206,15000033,7/28/2015 18:05,18:05,7/28/2015 
7317,150,KA-27B-1515,2018000156,2019000082,15000043,5/2/2019 19:30,19:30,5/2/2019 
7380,150,KA-27F-1490,2015000103,2015000192,14000058,7/26/2015 13:26,13:26,7/26/2015 
7391,150,KA27EF7426,2017000234,2018000058,180901075,6/5/2018 17:02,17:02,6/5/2018 
7398,151,KA14NT0392,2018000117,2019000019,137800063,3/28/2019 14:03,14:03,3/28/2019 
7424,151,KA27M2845,2015000030,2015000104,153500035,12/12/2015 17:09,17:09,12/12/2015 
7426,146,KA27R4453,2016000077,2016000336,14200001,11/8/2016 20:39,20:39,11/8/2016 
7427,146,KA27TB2198,2014000083,2014000286,7800067,7/17/2014 19:43,19:43,7/17/2014 
7434,146,KA35EH3801,2018000393,2019000032,14200026,1/22/2019 19:04,19:04,1/22/2019 
7435,146,MH12JF6066,2016000164,2016000205,14200015,7/22/2016 16:17,16:17,7/22/2016 
7438,146,PY01CF6806,2019000002,2019000046,14200039,1/30/2019 21:09,21:09,1/30/2019 
7439,146,RJ14GF8865,2017000085,2017001133,14600035,5/21/2017 14:21,14:21,5/21/2017 
7461,141,KA27X7907,2016000063,2016000030,14100043,7/19/2016 15:56,15:56,7/19/2016 
7482,145,KA27B3277,2017000034,2017000783,14600036,10/29/2017 20:48,20:48,10/29/2017 
7484,145,KA27EC2934,2018000006,2018000102,13800030,5/27/2018 14:19,14:19,5/27/2018 
7488,145,ka27eh7330,2018000057,2019000008,11200004,1/12/2019 10:44,10:44,1/12/2019 
7491,145,KA27EJ6110,2018000008,2018000054,28900477,4/1/2018 10:20,10:20,4/1/2018 
7495,145,KA27S244,2016000011,2016000057,14200030,2/14/2016 1:15, 1:15,2/14/2016
7542,155,KA27A2795,2017000022,2017000114,30600068,3/23/2017 13:08,13:08,3/23/2017 
7543,155,KA27B3644,2015000041,2015000086,15900009,4/6/2015 11:15,11:15,4/6/2015 
7561,155,KA31L7732,2017000358,2018000122,15800006,5/1/2018 11:20,11:20,5/1/2018 
7615,138,KA274265,2018000247,2019000030,13800002,4/25/2019 18:00,18:00,4/25/2019 
7677,112,KA631988,2018000116,2018000072,152400001,6/30/2018 17:00,17:00,6/30/2018 
7703,156,AP29T3243,2016000062,2016000019,15000028,4/14/2016 18:57,18:57,4/14/2016 
7707,156,KA04MF3886,2015000104,2017000244,158700004,3/25/2017 13:39,13:39,3/25/2017 
7749,156,KA31R6230,2018000006,2018000065,15600018,3/28/2018 20:29,20:29,3/28/2018 
7753,146,KA27EK8545,2017000361,2018000088,13600042,6/4/2018 20:32,20:32,6/4/2018 
7758,146,KA27J9262,2018000218,2019000010,15600031,1/12/2019 12:38,12:38,1/12/2019 
7759,146,KA27M8809,2018000003,2018000232,14700036,8/19/2018 19:02,19:02,8/19/2018 
7766,146,KA27U9208,2016000338,2017000150,14500035,3/22/2017 20:45,20:45,3/22/2017 
7769,146,KA27W2316,2016000002,2016000283,14200053,8/17/2016 19:15,19:15,8/17/2016 
7813,147,KA27ED4545,2018000196,2019000187,15100035,9/1/2019 19:19,19:19,9/1/2019 
7814,156,KA630295,2018000056,2018000115,156300018,6/5/2018 14:12,14:12,6/5/2018 
7846,179,KA19J3041,2015000385,2016003059,17900058,7/13/2016 19:38,19:38,7/13/2016 
7847,179,KA19Z4850,2018000274,2018004897,7100075,8/21/2018 10:41,10:41,8/21/2018 
7850,179,KA25C4147,2018000424,2019000419,156200021,2/15/2019 11:26,11:26,2/15/2019 
7863,179,KA25TF4667,2017000416,2017002833,17900034,11/30/2017 11:42,11:42,11/30/2017 
7865,179,KA269325,2018000174,2018000991,145100001,5/14/2018 14:01,14:01,5/14/2018 
7870,179,KA26A1219,2015000335,2016001639,156300019,3/23/2016 12:15,12:15,3/23/2016 
7973,116,ka17B3745,2017000190,2018000015,11600029,1/25/2018 23:08,23:08,1/25/2018 
7981,117,KA17EF8823,2014000031,2014000010,102700030,2/25/2014 12:53,12:53,2/25/2014 
8017,150,KA-05AD-6455,2015000142,2015000281,15400010,8/24/2015 19:33,19:33,8/24/2015 
8019,150,KA-27B-6158,2018000181,2019000184,15000053,8/6/2019 18:57,18:57,8/6/2019 
8035,150,KA27EJ0718,2017000273,2018000130,14600037,9/22/2018 19:53,19:53,9/22/2018 
8042,151,KA158127,2015000003,2015000030,14200002,4/3/2015 13:35,13:35,4/3/2015 
8045,151,KA15A2710,2019000001,2019000073,14700009,8/9/2019 12:50,12:50,8/9/2019 
8054,151,KA27EB6158,2014000082,2014000837,14100040,7/30/2014 12:33,12:33,7/30/2014 
8057,151,KA27M6884,2014000095,2014000284,44700149,7/22/2014 11:36,11:36,7/22/2014 
8063,140,GA-05-B-0869,2015000190,2015000275,48100031,9/26/2015 14:01,14:01,9/26/2015 
8065,140,KA-19-6822,2018000271,2018000285,13800020,11/19/2018 12:00,12:00,11/19/2018 
8079,140,KA27-B-1657,2015000256,2015000355,14000034,12/28/2015 12:33,12:33,12/28/2015 
8082,140,KA27EF1685,2018000271,2018000297,15100011,12/16/2018 11:57,11:57,12/16/2018 
8084,140,KA27EJ0357,2018000137,2018000114,15900047,5/4/2018 14:21,14:21,5/4/2018 
8109,145,ka27EE9779,2017000060,2018000065,14500001,4/1/2018 21:39,21:39,4/1/2018 
8188,159,KA25TJ1443,2017000019,2017000043,49800076,3/22/2017 17:57,17:57,3/22/2017 
8193,159,KA27A7236,2016000111,2016000037,15000032,4/7/2016 7:28, 7:28,4/7/2016
8206,159,KA27Q5396,2016000311,2018000012,13800012,1/6/2018 12:44,12:44,1/6/2018 
8209,159,KA27V1970,2017000419,2018000130,11100033,6/4/2018 18:50,18:50,6/4/2018 
8210,159,KA28J5899,2015000154,2015000123,60900008,11/24/2015 13:35,13:35,11/24/2015 
8213,159,KA31EA2966,2018000127,2018000144,9400118,6/16/2018 11:50,11:50,6/16/2018 
8218,160,KA-25Z-4458,2016000173,2017000143,103800051,3/23/2017 12:34,12:34,3/23/2017 
8223,160,KA17EM1319,2014000057,2015000017,61000052,2/4/2015 18:45,18:45,2/4/2015 
8225,160,KA20EJ6507,2015000165,2016000058,42400045,4/5/2016 21:58,21:58,4/5/2016 
8235,160,ka27eh8682,2017000132,2018000055,13600055,3/24/2018 18:51,18:51,3/24/2018 
8239,160,KA46N3366,2017000281,2018000112,15900051,6/17/2018 15:53,15:53,6/17/2018 
8241,176,KA05MB145,2014000042,2014000716,28900540,8/18/2014 13:35,13:35,8/18/2014 
8243,176,KA250349,2017000029,2018000088,155900028,1/8/2018 15:35,15:35,1/8/2018 
8244,176,KA25ES9911,2018000002,2018000710,17900017,3/28/2018 22:21,22:21,3/28/2018 
8247,176,KA26A2393,2017000015,2017001820,17600039,8/6/2017 12:25,12:25,8/6/2017 
8271,120,KA06EX1593,2019000005,2019000042,9900045,6/4/2019 12:25,12:25,6/4/2019 
8295,138,KA02AC1889,2019000013,2019000037,15600008,4/27/2019 14:24,14:24,4/27/2019 
8411,156,KA26F985,2017000124,2017000694,17900041,11/14/2017 18:08,18:08,11/14/2017 
8430,158,KA-04-AB-3600,2015000102,2015000589,158900401,12/25/2015 11:35,11:35,12/25/2015 
8439,140,KA-17-5002,2015000041,2015000050,14200050,4/1/2015 13:59,13:59,4/1/2015 
8455,140,KA-27-EB-0189,2015000005,2015000030,14600024,1/21/2015 13:04,13:04,1/21/2015 
8493,141,KA49M1423,2015000010,2015000077,14700008,2/17/2015 13:08,13:08,2/17/2015 
